model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
Heavily Regularised CNN,1,2.100124973465228,0.15555989837795584,2.0870615005493165,0.12890625,0.037628786501039777,0.001
Heavily Regularised CNN,2,2.016752427016149,0.20715262849325777,2.096859359741211,0.1328125,0.05121518002355875,0.001
Heavily Regularised CNN,3,1.9803217191679394,0.22864959937463358,2.00117826461792,0.21484375,0.14342204538610093,0.001
Heavily Regularised CNN,4,1.954300076672172,0.24916943521594684,2.008056640625,0.209375,0.14408989005491596,0.001
Heavily Regularised CNN,5,1.9293960894787243,0.26734414696111003,1.8940304040908813,0.34140625,0.27049263415693,0.001
Heavily Regularised CNN,6,1.9038744048492644,0.3015438733632988,1.8547024488449098,0.34453125,0.2708808477586253,0.001
Heavily Regularised CNN,7,1.8778929768164037,0.3181551690443619,1.8421474933624267,0.309375,0.23081226834781474,0.001
Heavily Regularised CNN,8,1.8583597862233587,0.333203048661325,1.8118018865585328,0.34765625,0.28847692238547845,0.001
Heavily Regularised CNN,9,1.8432651454637776,0.3330076216533125,1.7731771230697633,0.39375,0.34978162094573595,0.001
Heavily Regularised CNN,10,1.817328119548196,0.3550908735587258,1.7444387912750243,0.428125,0.38623134239920487,0.001
Heavily Regularised CNN,11,1.7935919061358467,0.3631033808872386,1.7135177850723267,0.4234375,0.3767198483052064,0.001
Heavily Regularised CNN,12,1.783812117548643,0.3695524721516514,1.6972301721572876,0.44140625,0.4036249740416752,0.001
Heavily Regularised CNN,13,1.763949743350642,0.385577486808677,1.7254228830337524,0.40859375,0.3788323366741208,0.001
Heavily Regularised CNN,14,1.7547654672271926,0.38733632988078953,1.6978642463684082,0.43046875,0.39017208167626877,0.001
Heavily Regularised CNN,15,1.751000109654468,0.3914402970490522,1.6800389051437379,0.434375,0.39002801441675583,0.001
Heavily Regularised CNN,16,1.7439090802097823,0.3996482313855775,1.6615814208984374,0.46015625,0.4264362929765833,0.001
Heavily Regularised CNN,17,1.7289989317257888,0.4064881766660152,1.6690890312194824,0.43359375,0.38902369546842036,0.001
Heavily Regularised CNN,18,1.7358691316576285,0.3941762751612273,1.6653398513793944,0.43984375,0.39325913474814533,0.001
Heavily Regularised CNN,19,1.7187857274224523,0.41371897596247803,1.6602259874343872,0.45078125,0.40662517333934933,0.001
Heavily Regularised CNN,20,1.7157109860729047,0.41410982997850304,1.6941075563430785,0.440625,0.4040024868387525,0.001
Heavily Regularised CNN,21,1.7229244577155487,0.4102012898182529,1.7349389314651489,0.39765625,0.3639554812562772,0.001
Heavily Regularised CNN,22,1.7141268529392486,0.41469611100254056,1.6418190479278565,0.45,0.4048839638877494,0.001
Heavily Regularised CNN,23,1.7107874198842379,0.4156732460426031,1.6367419719696046,0.4796875,0.4412707963030753,0.001
Heavily Regularised CNN,24,1.7038143536577193,0.42427203439515343,1.6357030391693115,0.4578125,0.4178317989915057,0.001
Heavily Regularised CNN,25,1.698614636179477,0.427594293531366,1.67321674823761,0.45,0.41434062135805694,0.001
Heavily Regularised CNN,26,1.6913633551801674,0.43619308188391637,1.6301260232925414,0.46796875,0.42725372621028956,0.001
Heavily Regularised CNN,27,1.6910472963619028,0.43873363298807894,1.6275222539901733,0.46875,0.4278887243795043,0.001
Heavily Regularised CNN,28,1.6863764898139144,0.44146961110025407,1.6424036026000977,0.46640625,0.42799301644677096,0.001
Heavily Regularised CNN,29,1.6738755655680082,0.44635528630056676,1.6116066217422484,0.459375,0.4104780618876115,0.001
Heavily Regularised CNN,30,1.680234354875366,0.44068790306820405,1.6224597454071046,0.48671875,0.44812377255412816,0.001
Heavily Regularised CNN,31,1.6679121935905739,0.4436193081883916,1.6223459720611573,0.4703125,0.43347966533050564,0.001
Heavily Regularised CNN,32,1.6603345894268395,0.4471369943326168,1.6470276832580566,0.4546875,0.4227700424110967,0.001
Heavily Regularised CNN,33,1.6682836169583364,0.44655071330857926,1.6106067895889282,0.48359375,0.4505394233728866,0.001
Heavily Regularised CNN,34,1.6629767690013344,0.44440101622044165,1.6263681411743165,0.4484375,0.40085975179101285,0.001
Heavily Regularised CNN,35,1.6564008994845176,0.4473324213406293,1.6346270322799683,0.46796875,0.4386759373251419,0.001
Heavily Regularised CNN,36,1.6620539263726586,0.4488958374047293,1.578622531890869,0.5015625,0.46500524907791,0.001
Heavily Regularised CNN,37,1.647549160598008,0.4535860855970295,1.6345264911651611,0.4625,0.42133963370051153,0.001
Heavily Regularised CNN,38,1.641528374612483,0.46023060386945475,1.5941872358322144,0.49609375,0.46307415822775,0.001
Heavily Regularised CNN,39,1.6408098160999232,0.46238030095759236,1.6059085607528687,0.49296875,0.46086605429381533,0.001
Heavily Regularised CNN,40,1.6355864535511204,0.46687512214188,1.5771402597427369,0.50078125,0.465997577820782,0.001
Heavily Regularised CNN,41,1.639218607823877,0.45651749071721714,1.675532913208008,0.425,0.380127119256783,0.001
Heavily Regularised CNN,42,1.6414835586290655,0.46609341410982996,1.6405327320098877,0.45390625,0.4254782879895539,0.001
Heavily Regularised CNN,43,1.633684706194037,0.47039280828610514,1.6020333766937256,0.4921875,0.4632919777995471,0.001
Heavily Regularised CNN,44,1.6376615180991603,0.4592534688293922,1.608410358428955,0.484375,0.45735346104238,0.001
Heavily Regularised CNN,45,1.6264074881467732,0.47078366230213015,1.6123314380645752,0.4640625,0.43494318622632105,0.001
Heavily Regularised CNN,46,1.6252629695424163,0.4629665819816299,1.5903029918670655,0.49140625,0.45830840538126616,0.001
Heavily Regularised CNN,47,1.6281006140985688,0.46531170607777994,1.592237949371338,0.50625,0.4751012635334869,0.001
Heavily Regularised CNN,48,1.6183534520012992,0.48133672073480555,1.599466872215271,0.4953125,0.46842094926807476,0.001
Heavily Regularised CNN,49,1.631617567561114,0.47664647254250536,1.6143071889877318,0.471875,0.44203362683940006,0.001
Heavily Regularised CNN,50,1.6166380464925836,0.4694156732460426,1.5727341413497924,0.490625,0.45437196733169266,0.001
Heavily Regularised CNN,51,1.6281879362660225,0.47136994332616766,1.5978440046310425,0.4828125,0.4516991623102179,0.001
Heavily Regularised CNN,52,1.6097690320839657,0.48114129372679304,1.5764896631240846,0.496875,0.46178807483484485,0.001
Heavily Regularised CNN,53,1.6040210439657032,0.479577877662693,1.5594537496566772,0.5203125,0.49149890365691473,0.001
Heavily Regularised CNN,54,1.6013591412526917,0.47625561852648035,1.579305601119995,0.5015625,0.4706000106770419,0.001
Heavily Regularised CNN,55,1.6132667299031698,0.47156537033418017,1.5959418773651124,0.48203125,0.45228605476935735,0.001
Heavily Regularised CNN,56,1.5977105612351323,0.48602696892710573,1.596551251411438,0.478125,0.4523504486393658,0.001
Heavily Regularised CNN,57,1.60654098954498,0.4746922024623803,1.6088711738586425,0.4640625,0.433724438061775,0.001
Heavily Regularised CNN,58,1.6077709307492607,0.4844635528630057,1.598201608657837,0.4828125,0.46313151536721,0.001
Heavily Regularised CNN,59,1.6002281165481755,0.479968731678718,1.5779709577560426,0.5015625,0.47438939244950507,0.001
Heavily Regularised CNN,60,1.5933377187140687,0.48719953097518076,1.5511234283447266,0.5171875,0.4876161197923996,0.001
Heavily Regularised CNN,61,1.587901707876234,0.49169435215946844,1.6023065805435182,0.4734375,0.4505988828012335,0.001
Heavily Regularised CNN,62,1.587116564114578,0.49697088137580614,1.5541067361831664,0.5265625,0.5047817490491366,0.001
Heavily Regularised CNN,63,1.581792069618325,0.49267148719953097,1.5718714952468873,0.49765625,0.46667334596038024,0.001
Heavily Regularised CNN,64,1.5781167058104157,0.5004885675200312,1.526675295829773,0.5265625,0.4978324821499585,0.001
Heavily Regularised CNN,65,1.5851304819277774,0.4940394762556185,1.5631234645843506,0.50859375,0.4837657542079462,0.001
Heavily Regularised CNN,66,1.5812352808374013,0.5047879616963065,1.5692701578140258,0.49140625,0.4570544208623446,0.001
Heavily Regularised CNN,67,1.569473379194585,0.5002931405120188,1.6226263761520385,0.46171875,0.4273942624503949,0.001
Heavily Regularised CNN,68,1.5924569826142871,0.4905217901113934,1.6649531126022339,0.434375,0.38177988238963256,0.001
Heavily Regularised CNN,69,1.582523446216326,0.4999022864959937,1.5477371692657471,0.525,0.5011782075886217,0.001
Heavily Regularised CNN,70,1.565939605713636,0.5038108266562439,1.5751097679138184,0.5171875,0.4993815475435651,0.001
Heavily Regularised CNN,71,1.5703820566285838,0.5004885675200312,1.541835856437683,0.52578125,0.5046377532427958,0.0005
Heavily Regularised CNN,72,1.5615557153313007,0.5110416259527066,1.5346401691436768,0.5265625,0.5032570317652117,0.0005
Heavily Regularised CNN,73,1.542882398233904,0.5133867500488567,1.608802032470703,0.47890625,0.45568655601524843,0.0005
Heavily Regularised CNN,74,1.548672186715635,0.5116279069767442,1.5359448432922362,0.51640625,0.4918052250652442,0.0005
Heavily Regularised CNN,75,1.5457684805040506,0.5180769982411569,1.5226820230484008,0.5375,0.5125110860476152,0.0005
Heavily Regularised CNN,76,1.5441159768707473,0.5155364471369943,1.5584416151046754,0.5125,0.4886415751688139,0.0005
Heavily Regularised CNN,77,1.5363703484364686,0.521594684385382,1.5540379285812378,0.50390625,0.4773244360943327,0.0005
Heavily Regularised CNN,78,1.5405187717004984,0.5135821770568693,1.5783393144607545,0.4921875,0.46656396172801096,0.0005
Heavily Regularised CNN,79,1.532131575736679,0.5256986515536447,1.5315897464752197,0.515625,0.4860454242143395,0.0005
Heavily Regularised CNN,80,1.5249960867017187,0.5251123705296072,1.533858871459961,0.52578125,0.5018574034746613,0.0005
Heavily Regularised CNN,81,1.5371317786818164,0.5231581004494821,1.5501915216445923,0.51015625,0.4916505289383305,0.0005
Heavily Regularised CNN,82,1.5330434383674132,0.5202266953292946,1.5371718645095824,0.51015625,0.4830382686565139,0.0005
Heavily Regularised CNN,83,1.5310304679976838,0.5255032245456323,1.6010757446289063,0.48984375,0.46780474124002025,0.0005
Heavily Regularised CNN,84,1.5305197261752899,0.5276529216337698,1.5820651531219483,0.48828125,0.4679677939435297,0.00025
Heavily Regularised CNN,85,1.52427405071184,0.5262849325776823,1.5112478733062744,0.54140625,0.5169652744476939,0.00025
Heavily Regularised CNN,86,1.513473256668216,0.5305843267539574,1.5150845766067504,0.53515625,0.5130866257849069,0.00025
Heavily Regularised CNN,87,1.5065938179581944,0.5399648231385578,1.5028114557266234,0.53828125,0.5151714765051816,0.00025
