model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
ResNet CNN,1,2.41607822089636,0.1356263435606801,2.0804444313049317,0.125,0.027777777777777776,0.001
ResNet CNN,2,2.075317349964132,0.173343756107094,2.0705824375152586,0.1265625,0.032251310094900405,0.001
ResNet CNN,3,2.011509026473729,0.2050029314051202,1.9847177028656007,0.22578125,0.1394524708069025,0.001
ResNet CNN,4,1.970456407665158,0.22728161031854602,1.9237397909164429,0.28828125,0.22842570155746345,0.001
ResNet CNN,5,1.9289445201936402,0.2616767637287473,1.875076985359192,0.3546875,0.31276880556414,0.001
ResNet CNN,6,1.898750744645009,0.2825874535860856,1.8436517238616943,0.34609375,0.3053270022800608,0.001
ResNet CNN,7,1.8686756936977775,0.30975180769982413,1.8319626569747924,0.3515625,0.3138308641012312,0.001
ResNet CNN,8,1.8391402180315533,0.3281219464529998,1.7803026914596558,0.3921875,0.34466095606874014,0.001
ResNet CNN,9,1.8178542484779574,0.33691616181356265,1.7544018507003785,0.3984375,0.3563667761783881,0.001
ResNet CNN,10,1.8052233191982758,0.34727379323822555,1.749332022666931,0.396875,0.35564135870259733,0.001
ResNet CNN,11,1.7813639539467396,0.3697478991596639,1.750947403907776,0.375,0.3227336140464456,0.001
ResNet CNN,12,1.775638391036458,0.3632988078952511,1.7295676946640015,0.40703125,0.3693271797277975,0.001
ResNet CNN,13,1.7674556673796167,0.3652530779753762,1.7018954753875732,0.434375,0.395616318480176,0.001
ResNet CNN,14,1.7571193971786738,0.3902677350009771,1.7014655351638794,0.43828125,0.40937082924572976,0.001
ResNet CNN,15,1.7413262307981692,0.3851866327926519,1.7049004793167115,0.4390625,0.40639264594332825,0.001
ResNet CNN,16,1.7213756679812982,0.4047293335939027,1.699424934387207,0.4296875,0.40765476798207756,0.001
ResNet CNN,17,1.713517661040617,0.40375219855384015,1.6612682104110719,0.44453125,0.41241172588872244,0.001
ResNet CNN,18,1.707052577070736,0.40844244674614033,1.6580601453781127,0.45859375,0.42747393924996324,0.001
ResNet CNN,19,1.693860521487992,0.4182137971467657,1.702469778060913,0.43671875,0.4079803740122452,0.001
ResNet CNN,20,1.6856238749755508,0.4205589212429158,1.6392728805541992,0.46015625,0.4316996577734765,0.001
ResNet CNN,21,1.6828019346882408,0.41235098690639044,1.6474605560302735,0.4546875,0.421141530468192,0.001
ResNet CNN,22,1.6785992210396383,0.4320891147156537,1.6579969882965089,0.4640625,0.4400406983883887,0.001
ResNet CNN,23,1.6685372006970036,0.4363885088919289,1.6384019136428833,0.45,0.4177424619152592,0.001
ResNet CNN,24,1.6593820877971652,0.4371702169239789,1.6154210090637207,0.47421875,0.44654423479113287,0.001
ResNet CNN,25,1.648368227078809,0.44615985929255425,1.6291911125183105,0.47421875,0.4556230876216805,0.001
ResNet CNN,26,1.6379998205042174,0.4379519249560289,1.6235503435134888,0.47109375,0.4530397715304847,0.001
ResNet CNN,27,1.6294522652617651,0.4578854797733047,1.5883774280548095,0.48125,0.46200320516182836,0.001
ResNet CNN,28,1.6180100006961207,0.4584717607973422,1.5924721002578734,0.48046875,0.46101312205950257,0.001
ResNet CNN,29,1.615815969703485,0.46628884111784247,1.5828732967376709,0.49140625,0.4674939276302681,0.001
ResNet CNN,30,1.6041690669349564,0.4717607973421927,1.5874074459075929,0.5046875,0.49042534061505183,0.001
ResNet CNN,31,1.6069650513505664,0.4666796951338675,1.590776801109314,0.471875,0.45360480450237595,0.001
ResNet CNN,32,1.6038662384375013,0.4614031659175298,1.5899882316589355,0.503125,0.4940994886641951,0.001
ResNet CNN,33,1.5997352511803107,0.47273793238225525,1.6081275701522828,0.48125,0.4617249664022645,0.001
ResNet CNN,34,1.5857645982127648,0.48075043971076803,1.6065995693206787,0.48671875,0.46967244721416695,0.001
ResNet CNN,35,1.5766638750579876,0.48211842876685557,1.5716238021850586,0.50234375,0.49329042466936807,0.001
ResNet CNN,36,1.557719181845238,0.4946257572796561,1.5644283294677734,0.51328125,0.5015034585357102,0.001
ResNet CNN,37,1.5633214461936227,0.49658002735978113,1.5736620903015137,0.4953125,0.4811350710339244,0.001
ResNet CNN,38,1.5578258735303747,0.4997068594879812,1.5685643911361695,0.5046875,0.48859931153176905,0.001
ResNet CNN,39,1.5512054319001511,0.5002931405120188,1.550900650024414,0.50859375,0.4911573248231085,0.001
ResNet CNN,40,1.5447560949951777,0.5002931405120188,1.5463176250457764,0.51171875,0.49352291427192213,0.001
ResNet CNN,41,1.547262041881398,0.5086965018565566,1.5416645526885986,0.5078125,0.49355400307338315,0.001
ResNet CNN,42,1.5354366987879584,0.5022474105921438,1.6034939289093018,0.4890625,0.4848528827020232,0.001
ResNet CNN,43,1.5301184057374007,0.5129958960328317,1.6055816173553468,0.484375,0.46468890243195626,0.001
ResNet CNN,44,1.5167832832586166,0.5153410201289819,1.544661569595337,0.503125,0.4903251155926201,0.001
ResNet CNN,45,1.5200660834443833,0.5172952902091069,1.5494992017745972,0.50859375,0.4933488737635445,0.0005
ResNet CNN,46,1.4890041758544934,0.5341020128981825,1.542259645462036,0.50859375,0.5008997465832866,0.0005
ResNet CNN,47,1.4863978558414168,0.5378151260504201,1.5295581817626953,0.52734375,0.5216830141501103,0.0005
ResNet CNN,48,1.4682254597664066,0.5462184873949579,1.5256399393081665,0.52109375,0.5107313210519121,0.0005
ResNet CNN,49,1.467978868513385,0.5442642173148329,1.5377736806869506,0.509375,0.4996058472694216,0.0005
ResNet CNN,50,1.465507758882145,0.5440687903068204,1.5328753232955932,0.5234375,0.5190492790890042,0.0005
ResNet CNN,51,1.4670853379976243,0.5481727574750831,1.5189769268035889,0.5328125,0.5249074807098979,0.0005
ResNet CNN,52,1.4546756198076805,0.5522767246433458,1.5221020221710204,0.5234375,0.5139070123514182,0.0005
ResNet CNN,53,1.4509756497533521,0.5571623998436583,1.5169075012207032,0.52265625,0.5174348959991979,0.0005
ResNet CNN,54,1.4395950118941396,0.5554035567715458,1.5068475484848023,0.5265625,0.5170466619008218,0.0005
ResNet CNN,55,1.4364262744041771,0.5636114911080712,1.575009322166443,0.51328125,0.5090638877657572,0.0005
ResNet CNN,56,1.435393971671857,0.5589212429157709,1.510647964477539,0.5203125,0.5081788391958576,0.0005
ResNet CNN,57,1.429785914828308,0.5632206370920462,1.5094961166381835,0.52578125,0.516125573346596,0.0005
ResNet CNN,58,1.4282170098252378,0.5643931991401212,1.5273601293563843,0.528125,0.5201957226204427,0.0005
ResNet CNN,59,1.4188040927072882,0.5681063122923588,1.5187894105911255,0.53046875,0.5249606777253324,0.0005
ResNet CNN,60,1.4146778536933182,0.5722102794606214,1.5044244289398194,0.52578125,0.5203915853681377,0.0005
ResNet CNN,61,1.4037061291605741,0.5702560093804964,1.5137442827224732,0.5203125,0.5164600494271545,0.0005
ResNet CNN,62,1.398875651239347,0.5853038889974594,1.5137711048126221,0.52265625,0.5201442792686445,0.0005
ResNet CNN,63,1.396617485229592,0.5804182137971468,1.5223196744918823,0.51953125,0.5140645093922732,0.0005
ResNet CNN,64,1.3965858204047474,0.572796560484659,1.5091278553009033,0.53515625,0.5294296249051279,0.0005
ResNet CNN,65,1.3918601931457713,0.587062732069572,1.5036498785018921,0.52578125,0.5217247458477643,0.0005
ResNet CNN,66,1.3797364137311081,0.5888215751416845,1.5130497932434082,0.53046875,0.5267353923270829,0.0005
ResNet CNN,67,1.3774575507335651,0.5921438342778972,1.5161468982696533,0.53359375,0.5272374258479082,0.0005
ResNet CNN,68,1.3752553665663596,0.5989837795583349,1.5486342668533326,0.52890625,0.5231229408282916,0.0005
ResNet CNN,69,1.3832971787392125,0.587062732069572,1.5531350135803224,0.51953125,0.5115224906370445,0.0005
ResNet CNN,70,1.3762960589814983,0.5919484072698847,1.5057242393493653,0.52109375,0.5193385634115693,0.0005
ResNet CNN,71,1.3664225579379754,0.5991792065663475,1.5102808237075807,0.53203125,0.5290764218104408,0.0005
ResNet CNN,72,1.3504921155957148,0.6007426226304475,1.519692587852478,0.52578125,0.5220480073237865,0.0005
ResNet CNN,73,1.3481205569502663,0.6062145788547977,1.523841881752014,0.53125,0.5268444420621202,0.00025
ResNet CNN,74,1.339318172293807,0.6114911080711354,1.5193361520767212,0.53828125,0.5324580853545131,0.00025
ResNet CNN,75,1.308927068072929,0.6277115497361735,1.5407732725143433,0.5265625,0.5251499528500301,0.00025
ResNet CNN,76,1.3176624494440414,0.6302521008403361,1.509407114982605,0.53046875,0.5268472224069717,0.00025
ResNet CNN,77,1.3067916850920696,0.6290795387922611,1.5086975812911987,0.52734375,0.523125833417312,0.00025
ResNet CNN,78,1.3130562558918697,0.6208716044557357,1.5144948005676269,0.53046875,0.5253792045444878,0.00025
ResNet CNN,79,1.306083468107686,0.6310338088723861,1.5102006196975708,0.53203125,0.5295976633004258,0.00025
ResNet CNN,80,1.2920334635476058,0.6298612468243111,1.5118333339691161,0.5265625,0.5256437088473609,0.00025
ResNet CNN,81,1.2865728627244593,0.6427594293531366,1.5367832899093627,0.54140625,0.5415438648369303,0.00025
ResNet CNN,82,1.2880363153577294,0.6314246628884111,1.519546890258789,0.53359375,0.5305467676617068,0.00025
ResNet CNN,83,1.2917970854112686,0.6304475278483487,1.5199330568313598,0.5265625,0.526101138287087,0.00025
ResNet CNN,84,1.296147369537033,0.6351377760406488,1.5106808185577392,0.53671875,0.5327401158049108,0.00025
ResNet CNN,85,1.2832156594712356,0.639437170216924,1.5171833276748656,0.534375,0.5312097052764846,0.00025
ResNet CNN,86,1.2754243210654066,0.6431502833691616,1.5121689081192016,0.53515625,0.5336930663697501,0.00025
ResNet CNN,87,1.278791473576723,0.6427594293531366,1.523936653137207,0.534375,0.5316496307071481,0.00025
ResNet CNN,88,1.2639143397525252,0.6503810826656244,1.5348040580749511,0.51640625,0.5157975126490355,0.00025
ResNet CNN,89,1.272265409663806,0.6501856556576119,1.5245479583740233,0.521875,0.5172211361318098,0.00025
ResNet CNN,90,1.2679716211663388,0.6460816884893492,1.5307150602340698,0.52265625,0.522392062513173,0.000125
ResNet CNN,91,1.2475303309910089,0.6587844440101622,1.5256688594818115,0.521875,0.5205099854131431,0.000125
ResNet CNN,92,1.2519630494703882,0.6587844440101622,1.528939914703369,0.5328125,0.53164515812434,0.000125
ResNet CNN,93,1.2480450180887548,0.6587844440101622,1.5223788022994995,0.5265625,0.5264153374141252,0.000125
ResNet CNN,94,1.2416662565311092,0.6562438929059996,1.523189377784729,0.52421875,0.5232689805040961,0.000125
ResNet CNN,95,1.2361456524098038,0.6632792651944499,1.5245242357254027,0.5375,0.5356192703265815,0.000125
ResNet CNN,96,1.2366666801045223,0.6687512214188001,1.5338852405548096,0.53203125,0.5313001856099768,0.000125
ResNet CNN,97,1.2313485074047934,0.668360367402775,1.5325234889984132,0.5265625,0.5241401308174314,0.000125
ResNet CNN,98,1.2264179993775386,0.6658198162986124,1.5493639707565308,0.5234375,0.5227512493377926,0.000125
ResNet CNN,99,1.2292135752852549,0.6699237834668751,1.5236227989196778,0.521875,0.5212116742404709,6.25e-05
ResNet CNN,100,1.23610162879425,0.6595661520422123,1.5328843355178834,0.528125,0.5283367908648349,6.25e-05
ResNet CNN,101,1.2341452954405798,0.6566347469220246,1.529044246673584,0.53125,0.5309358167107878,6.25e-05
ResNet CNN,102,1.224089223285054,0.6710963455149501,1.5348812103271485,0.53203125,0.5308824409122888,6.25e-05
ResNet CNN,103,1.2161509898437148,0.6726597615790503,1.5301530599594115,0.53125,0.5310474876645958,6.25e-05
ResNet CNN,104,1.219357119283104,0.6773500097713504,1.5289912223815918,0.5328125,0.5313559019905914,6.25e-05
ResNet CNN,105,1.215514858183228,0.6720734805550127,1.531253719329834,0.5296875,0.5291180010207643,6.25e-05
ResNet CNN,106,1.209597928952211,0.677936290795388,1.5297702312469483,0.5265625,0.5269522220235987,6.25e-05
ResNet CNN,107,1.2039232456476772,0.6824311119796755,1.5315393924713134,0.53046875,0.5308136381987427,6.25e-05
ResNet CNN,108,1.2051513882989828,0.6855579441078757,1.5362786769866943,0.534375,0.5337933481985946,3.125e-05
ResNet CNN,109,1.217440721740335,0.6730506155950753,1.5327504634857179,0.53828125,0.5382343410687397,3.125e-05
ResNet CNN,110,1.2066918233886743,0.6759820207152628,1.5304556369781495,0.53203125,0.5319189603476203,3.125e-05
ResNet CNN,111,1.2167597923377587,0.667578659370725,1.5325098514556885,0.534375,0.534399288260681,3.125e-05
ResNet CNN,112,1.2071993526872862,0.6755911666992378,1.5365095615386963,0.52578125,0.5258140490254006,3.125e-05
ResNet CNN,113,1.213554007293704,0.6732460426030877,1.5354601860046386,0.52734375,0.527015557429026,3.125e-05
ResNet CNN,114,1.2037606845499367,0.6804768418995505,1.5354262828826903,0.5265625,0.5269845763349962,3.125e-05
ResNet CNN,115,1.2158017413840294,0.6820402579636505,1.535891628265381,0.5296875,0.5295647980869118,3.125e-05
ResNet CNN,116,1.2087705933723876,0.6796951338675005,1.5360570669174194,0.53203125,0.5326341265325121,3.125e-05
ResNet CNN,117,1.205214982366385,0.6796951338675005,1.5371103763580323,0.5265625,0.5274028219133182,1.5625e-05
ResNet CNN,118,1.2115030386076557,0.6738323236271253,1.5355495929718017,0.52734375,0.5282429294665563,1.5625e-05
ResNet CNN,119,1.1976605835011258,0.6812585499316005,1.534773588180542,0.525,0.5257467539139677,1.5625e-05
ResNet CNN,120,1.20945910128947,0.6769591557553254,1.5335505962371827,0.52734375,0.5281542618371083,1.5625e-05
ResNet CNN,121,1.203639176503648,0.6812585499316005,1.5348157644271851,0.5265625,0.5270221087250596,1.5625e-05
ResNet CNN,122,1.2016220186426232,0.6824311119796755,1.535737943649292,0.53046875,0.5303770498620541,1.5625e-05
ResNet CNN,123,1.2059904149390768,0.6810631229235881,1.5370134115219116,0.53203125,0.5318897293806104,1.5625e-05
ResNet CNN,124,1.204684025635122,0.6836036740277507,1.535781192779541,0.53046875,0.5306459011302985,1.5625e-05
ResNet CNN,125,1.20334754538578,0.679499706859488,1.536983585357666,0.52890625,0.529832047242675,1.5625e-05
ResNet CNN,126,1.2032757039318938,0.6812585499316005,1.5371459007263184,0.53046875,0.5312663809507822,7.8125e-06
ResNet CNN,127,1.200331298080021,0.6810631229235881,1.5385332345962524,0.52890625,0.529590172694778,7.8125e-06
ResNet CNN,128,1.1999184878654772,0.6867305061559508,1.5380452632904054,0.52890625,0.5297378088193297,7.8125e-06
ResNet CNN,129,1.1995107691945428,0.6832128200117257,1.5379493713378907,0.528125,0.5288789229630569,7.8125e-06
