model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
Multi-shape CNN,1,2.0334828116359343,0.22239593511823333,2.201590824127197,0.128125,0.04159430339371749,0.001
Multi-shape CNN,2,1.8786279852091625,0.30545241352354896,2.278283977508545,0.1453125,0.07353755921150366,0.001
Multi-shape CNN,3,1.8120331861834427,0.34727379323822555,2.1429493904113768,0.18203125,0.11516697371103718,0.001
Multi-shape CNN,4,1.751054589674299,0.3953488372093023,1.8029133558273316,0.39296875,0.35290323650651306,0.001
Multi-shape CNN,5,1.71383801349001,0.40687903068204023,1.6882660150527955,0.43671875,0.40755767794501696,0.001
Multi-shape CNN,6,1.6786245455470707,0.4344342388118038,1.6713874816894532,0.4390625,0.4165354570364863,0.001
Multi-shape CNN,7,1.6677209400492345,0.44694156732460427,1.6863191843032836,0.4140625,0.38091386423738544,0.001
Multi-shape CNN,8,1.6364298850641554,0.46218487394957986,1.659149670600891,0.453125,0.44083485082134644,0.001
Multi-shape CNN,9,1.629909505363272,0.46687512214188,1.6034649848937987,0.48828125,0.4772874576988934,0.001
Multi-shape CNN,10,1.6223932566623191,0.4686339652139926,1.6401575326919555,0.44296875,0.4335126146975215,0.001
Multi-shape CNN,11,1.603116808306642,0.4750830564784053,1.5701369524002076,0.5078125,0.4915151959535369,0.001
Multi-shape CNN,12,1.587441942783592,0.48368184483095567,1.5778435707092284,0.48828125,0.4718227482798498,0.001
Multi-shape CNN,13,1.5783779035910792,0.4887629470392808,1.60665864944458,0.496875,0.47815414122546995,0.001
Multi-shape CNN,14,1.5713835567241772,0.49286691420754347,1.5731937408447265,0.5125,0.49947438561989455,0.001
Multi-shape CNN,15,1.5595118828716281,0.5028336916161814,1.5607700109481812,0.51484375,0.5067639943393385,0.001
Multi-shape CNN,16,1.5567319370793113,0.5020519835841313,1.565331482887268,0.49375,0.48146302046404316,0.001
Multi-shape CNN,17,1.5555300613341445,0.4985342974399062,1.5719454288482666,0.50390625,0.49676367756571926,0.001
Multi-shape CNN,18,1.538745727300504,0.5104553449286692,1.5347420930862428,0.521875,0.5069416547508575,0.001
Multi-shape CNN,19,1.5365071192788546,0.5085010748485441,1.5892213582992554,0.49296875,0.4829609327903095,0.001
Multi-shape CNN,20,1.5365876906407818,0.5163181551690443,1.529186487197876,0.52890625,0.5184398793771408,0.001
Multi-shape CNN,21,1.5269906513388558,0.5128004690248192,1.5625059366226197,0.51484375,0.5048368444218906,0.001
Multi-shape CNN,22,1.5218629434002966,0.5210084033613446,1.5181149244308472,0.5359375,0.5277223675444502,0.001
Multi-shape CNN,23,1.5113345855424385,0.5256986515536447,1.5282954692840576,0.5296875,0.5137376625134553,0.001
Multi-shape CNN,24,1.50726817854918,0.5364471369943327,1.6083789348602295,0.46796875,0.445900708630035,0.001
Multi-shape CNN,25,1.5216393889406126,0.5229626734414696,1.7636546611785888,0.421875,0.39795519110026445,0.001
Multi-shape CNN,26,1.5054372525760291,0.5305843267539574,1.5483649492263794,0.525,0.5197748714344387,0.001
Multi-shape CNN,27,1.5023182850459929,0.5382059800664452,1.552888822555542,0.52421875,0.506648197117102,0.001
Multi-shape CNN,28,1.4883702320117886,0.5403556771545828,1.5230080366134644,0.534375,0.5247880835740296,0.001
Multi-shape CNN,29,1.4791098436574022,0.5460230603869455,1.5216426849365234,0.525,0.5185914874236427,0.001
Multi-shape CNN,30,1.4897756121320278,0.5415282392026578,1.5238181829452515,0.5296875,0.5227486690141618,0.001
Multi-shape CNN,31,1.4708509396034362,0.5509087355872582,1.486669087409973,0.56171875,0.5525096983178233,0.001
Multi-shape CNN,32,1.4699445611591424,0.5481727574750831,1.524365282058716,0.52890625,0.514999423725707,0.001
Multi-shape CNN,33,1.4651344930471004,0.5512995896032832,1.5532390117645263,0.5,0.49775084993384455,0.001
Multi-shape CNN,34,1.4637676177370564,0.5473910494430331,1.5276574611663818,0.53125,0.5204609013854156,0.001
Multi-shape CNN,35,1.461979086379975,0.5477819034590581,1.5125120162963868,0.54453125,0.5350485981304764,0.001
Multi-shape CNN,36,1.4623870451701486,0.5554035567715458,1.5110535621643066,0.54921875,0.5425166734050451,0.001
Multi-shape CNN,37,1.451289548663299,0.5555989837795583,1.4747088193893432,0.559375,0.5497839138886881,0.001
Multi-shape CNN,38,1.4529441581099485,0.5573578268516709,1.5307023048400878,0.52890625,0.5254039415241768,0.001
Multi-shape CNN,39,1.4387222599279654,0.5614617940199336,1.594067096710205,0.47109375,0.4548329591346846,0.001
Multi-shape CNN,40,1.4489506130831675,0.5546218487394958,1.4809446811676026,0.5640625,0.5576640974322814,0.001
Multi-shape CNN,41,1.4414342367395143,0.5643931991401212,1.4936516523361205,0.53671875,0.5305652028005073,0.001
Multi-shape CNN,42,1.4230506545471824,0.5706468633965214,1.540479063987732,0.534375,0.5222908418912173,0.001
