model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
Moderately Regularised CNN - SpecAugment,1,1.9885380728672974,0.22728161031854602,1.9075030267238617,0.2953125,0.19095790952188496
Moderately Regularised CNN - SpecAugment,2,1.879079183074723,0.3120969317959742,1.9452628374099732,0.31796875,0.22855882974259423
Moderately Regularised CNN - SpecAugment,3,1.824962540811595,0.34160641000586284,1.9264437675476074,0.33359375,0.27447117086132156
Moderately Regularised CNN - SpecAugment,4,1.788147686886932,0.37287473128786397,1.6955574452877045,0.41640625,0.3634278833017339
Moderately Regularised CNN - SpecAugment,5,1.7663943052338464,0.3785421145202267,1.6848544299602508,0.41328125,0.38268035442193205
Moderately Regularised CNN - SpecAugment,6,1.7511139606064317,0.3892905999609146,1.6830207228660583,0.43359375,0.38473990971053873
Moderately Regularised CNN - SpecAugment,7,1.7369953198942654,0.40394762556185265,1.6625753700733186,0.4421875,0.4057102114034057
Moderately Regularised CNN - SpecAugment,8,1.7204021558832419,0.4060973226499902,1.7198943495750427,0.44140625,0.4176290735521865
Moderately Regularised CNN - SpecAugment,9,1.7117447050749521,0.41762751612272814,1.7306243181228638,0.41015625,0.3668333719281497
Moderately Regularised CNN - SpecAugment,10,1.6956500132754373,0.42544459644322846,1.6270867705345153,0.45703125,0.42610011651911306
Moderately Regularised CNN - SpecAugment,11,1.6959038154906958,0.4324799687316787,1.638232135772705,0.4609375,0.42196603034018265
Moderately Regularised CNN - SpecAugment,12,1.683646792426155,0.4328708227477037,1.6286766529083252,0.47109375,0.45206005310251474
Moderately Regularised CNN - SpecAugment,13,1.6775916106816915,0.4324799687316787,1.6383916318416596,0.475,0.4602635732293195
Moderately Regularised CNN - SpecAugment,14,1.6619770283202349,0.4483095563806918,1.6570377767086029,0.46953125,0.4484911607673765
Moderately Regularised CNN - SpecAugment,15,1.6610964534803132,0.44518272425249167,1.5839162290096283,0.5,0.47458397369373967
Moderately Regularised CNN - SpecAugment,16,1.6517602402133729,0.44928669142075434,1.6585318326950074,0.45859375,0.4240431759203296
Moderately Regularised CNN - SpecAugment,17,1.6481813221488448,0.4629665819816299,1.6179030060768127,0.48125,0.45630909385961205
Moderately Regularised CNN - SpecAugment,18,1.6483809776270741,0.4506546804768419,1.5980131387710572,0.5015625,0.47844235592516765
Moderately Regularised CNN - SpecAugment,19,1.6354582592545017,0.4637482900136799,1.7075103878974915,0.4609375,0.4288040673996628
Moderately Regularised CNN - SpecAugment,20,1.6293450658480264,0.46042603087746725,1.6019785404205322,0.47578125,0.4611959731569629
Moderately Regularised CNN - SpecAugment,21,1.6296574035985223,0.46687512214188,1.6095779418945313,0.48203125,0.453881566953981
Moderately Regularised CNN - SpecAugment,22,1.627303960222226,0.47273793238225525,1.584563171863556,0.50546875,0.483015373938363
Moderately Regularised CNN - SpecAugment,23,1.6240111373704185,0.4735196404143053,1.5985730588436127,0.48671875,0.460929401203899
Moderately Regularised CNN - SpecAugment,24,1.6147145817981978,0.4698065272620676,1.6412388741970063,0.46640625,0.442075787129538
Moderately Regularised CNN - SpecAugment,25,1.6036677309747829,0.4743013484463553,1.5399939119815826,0.5171875,0.5030651435245431
Moderately Regularised CNN - SpecAugment,26,1.5964810947480088,0.48231385577486807,1.597752970457077,0.49921875,0.4768418988085228
Moderately Regularised CNN - SpecAugment,27,1.603187994447238,0.4776236075825679,1.5602426946163177,0.52265625,0.5047459874500597
Moderately Regularised CNN - SpecAugment,28,1.603342109041473,0.4741059214383428,1.5671977162361146,0.49765625,0.4776533290085879
Moderately Regularised CNN - SpecAugment,29,1.586749909654222,0.4899355090873559,1.5435062646865845,0.5140625,0.49635475544940777
Moderately Regularised CNN - SpecAugment,30,1.585190557678719,0.4834864178229431,1.5510059595108032,0.5265625,0.5026678426039506
Moderately Regularised CNN - SpecAugment,31,1.581560702675228,0.4907172171194059,1.5431180536746978,0.5125,0.4923788982980575
Moderately Regularised CNN - SpecAugment,32,1.5809286619644507,0.4983388704318937,1.5927542805671693,0.5,0.48552200197901285
Moderately Regularised CNN - SpecAugment,33,1.5732759530362102,0.5006839945280438,1.5539342999458312,0.52734375,0.5039857319123169
Moderately Regularised CNN - SpecAugment,34,1.564900935266967,0.4950166112956811,1.535180789232254,0.5234375,0.5012722059248954
Moderately Regularised CNN - SpecAugment,35,1.555666847249505,0.5067422317764315,1.5370871007442475,0.534375,0.5175233740506524
Moderately Regularised CNN - SpecAugment,36,1.5614169301384708,0.5063513777604065,1.5338713467121123,0.528125,0.5055184267741919
Moderately Regularised CNN - SpecAugment,37,1.5579222768737349,0.5126050420168067,1.5246294915676117,0.54765625,0.5328191608390622
Moderately Regularised CNN - SpecAugment,38,1.5567648090933226,0.4999022864959937,1.5170118987560273,0.53203125,0.5129270762160902
Moderately Regularised CNN - SpecAugment,39,1.538309482431328,0.5108461989446942,1.5475470840930938,0.515625,0.493632345125969
Moderately Regularised CNN - SpecAugment,40,1.5437391933482536,0.507328512800469,1.520801955461502,0.5328125,0.5173553492110252
Moderately Regularised CNN - SpecAugment,41,1.5437082876468604,0.5120187609927692,1.5428756177425385,0.53203125,0.5116197511709379
Moderately Regularised CNN - SpecAugment,42,1.5407742294967932,0.5186632792651944,1.5080453395843505,0.53828125,0.5217847448548594
Moderately Regularised CNN - SpecAugment,43,1.5304646094096506,0.5198358413132695,1.5251642882823944,0.53828125,0.5211662848554823
Moderately Regularised CNN - SpecAugment,44,1.5323776833499017,0.5161227281610319,1.5059022724628448,0.5328125,0.5158609072557786
Moderately Regularised CNN - SpecAugment,45,1.5288162375651977,0.5163181551690443,1.506319487094879,0.540625,0.5219853748633717
Moderately Regularised CNN - SpecAugment,46,1.5261387249117417,0.5255032245456323,1.5058063447475434,0.53359375,0.5154060862802254
Moderately Regularised CNN - SpecAugment,47,1.5188674639509319,0.5249169435215947,1.5196847021579742,0.53203125,0.5141297615320692
Moderately Regularised CNN - SpecAugment,48,1.523356170632864,0.5288254836818448,1.4938935458660125,0.54453125,0.5302036344849628
Moderately Regularised CNN - SpecAugment,49,1.5207399838087683,0.5223763924174321,1.495975387096405,0.546875,0.5300065249961321
Moderately Regularised CNN - Mixup,1,1.98822588603292,0.1870236466679695,1.8414485216140748,0.3203125,0.26401807710867214
Moderately Regularised CNN - Mixup,2,1.9093436442806266,0.2474105921438343,1.9021840572357178,0.30859375,0.27133919127848755
Moderately Regularised CNN - Mixup,3,1.8495172059510354,0.2317764315028337,1.7000775039196014,0.42109375,0.3697899241165239
Moderately Regularised CNN - Mixup,4,1.8252523354261396,0.23646667969513388,1.6968757271766663,0.4109375,0.3640797042069518
Moderately Regularised CNN - Mixup,5,1.8160383903539947,0.24057064686339652,1.7626837968826294,0.35859375,0.32727174515304597
