model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
Multi-shape CNN - Mixup - Segment Transformer,1,2.0011925873449825,0.19640414305256987,2.268214797973633,0.1859375,0.09542317318838603,0.001
Multi-shape CNN - Mixup - Segment Transformer,2,1.8530925432406111,0.2452608950556967,1.8225091457366944,0.34609375,0.3043427251890425,0.001
Multi-shape CNN - Mixup - Segment Transformer,3,1.7760473054345753,0.30486613249951144,1.8847553253173828,0.33671875,0.2773392522692395,0.001
Multi-shape CNN - Mixup - Segment Transformer,4,1.7735133795899434,0.30037131131522377,1.6964770674705505,0.43515625,0.39238211914744514,0.001
Multi-shape CNN - Mixup - Segment Transformer,5,1.7064671637328406,0.2722298221614227,1.8387455105781556,0.3953125,0.34486127212438,0.001
Multi-shape CNN - Mixup - Segment Transformer,6,1.6614922973264912,0.2964627711549736,1.808844256401062,0.3890625,0.369522336275233,0.001
Multi-shape CNN - Mixup - Segment Transformer,7,1.666535965395039,0.3033027164354114,1.5853646755218507,0.471875,0.46043931926300663,0.001
Multi-shape CNN - Mixup - Segment Transformer,8,1.6333012166423027,0.2825874535860856,1.6553489923477174,0.45546875,0.43327118435918505,0.001
Multi-shape CNN - Mixup - Segment Transformer,9,1.6435523705718245,0.2710572601133477,1.4830312490463258,0.54453125,0.5308057572946798,0.001
Multi-shape CNN - Mixup - Segment Transformer,10,1.634838303295178,0.3019347273793238,1.505561316013336,0.521875,0.49344910999412717,0.001
Multi-shape CNN - Mixup - Segment Transformer,11,1.570732420371896,0.3337893296853625,1.4744501113891602,0.546875,0.5273303898273671,0.001
Multi-shape CNN - Mixup - Segment Transformer,12,1.6016290376539084,0.36153996482313855,1.6215210437774659,0.4890625,0.4693144866894912,0.001
Multi-shape CNN - Mixup - Segment Transformer,13,1.6207902541215564,0.3849912057846394,1.5670319080352784,0.5015625,0.47803590905756144,0.001
Multi-shape CNN - Mixup - Segment Transformer,14,1.5636742235697734,0.3849912057846394,1.7945661306381226,0.40859375,0.36893235735974717,0.001
Multi-shape CNN - Mixup - Segment Transformer,15,1.6016483958260912,0.2905999609145984,1.655216634273529,0.4546875,0.4345253506591399,0.001
Multi-shape CNN - Mixup - Segment Transformer,16,1.5703574967426273,0.36701192104748875,1.4838231444358825,0.5421875,0.5334879241977065,0.001
Multi-shape CNN - Mixup - Segment Transformer,17,1.6081474277221623,0.30545241352354896,1.6261961340904236,0.4453125,0.429338666567194,0.001
Multi-shape CNN - Mixup - Segment Transformer,18,1.5808523914556334,0.42564002345124097,1.606612753868103,0.4609375,0.44944150376429826,0.001
Multi-shape CNN - Mixup - Segment Transformer,19,1.5409890190101774,0.29763533320304864,1.4457093954086304,0.56328125,0.5487914509089317,0.001
Multi-shape CNN - Mixup - Segment Transformer,20,1.5471898906510952,0.3685753371115888,1.449835765361786,0.5578125,0.549457951083214,0.001
Multi-shape CNN - Mixup - Segment Transformer,21,1.5674936120948546,0.33359390267735,1.4645889520645141,0.55234375,0.5280155354144768,0.001
Multi-shape CNN - Mixup - Segment Transformer,22,1.5478098469831665,0.3746335743599766,1.4219728708267212,0.56640625,0.5582353167222536,0.001
Multi-shape CNN - Mixup - Segment Transformer,23,1.529575330474448,0.3431698260699629,1.6934206128120421,0.4640625,0.44121656866086006,0.001
Multi-shape CNN - Mixup - Segment Transformer,24,1.5602784147014697,0.3120969317959742,1.6441810131072998,0.45859375,0.4471365240907751,0.001
Multi-shape CNN - Mixup - Segment Transformer,25,1.5203876082776508,0.3629079538792261,1.4925097942352294,0.53671875,0.5221685903771671,0.001
Multi-shape CNN - Mixup - Segment Transformer,26,1.542678520132933,0.3849912057846394,1.3934820413589477,0.5890625,0.5769619237928703,0.001
Multi-shape CNN - Mixup - Segment Transformer,27,1.4843025346833885,0.386750048856752,1.4085951447486877,0.58359375,0.5716049749406368,0.001
Multi-shape CNN - Mixup - Segment Transformer,28,1.5419985619005059,0.4346296658198163,1.437301552295685,0.56015625,0.5483000313085855,0.001
Multi-shape CNN - Mixup - Segment Transformer,29,1.5374824734714456,0.34707836623021304,1.5228906989097595,0.52109375,0.5129195098576025,0.001
Multi-shape CNN - Mixup - Segment Transformer,30,1.5145911302840498,0.3253859683408247,1.4335248947143555,0.57265625,0.5704923330521017,0.001
Multi-shape CNN - Mixup - Segment Transformer,31,1.4793755403132511,0.3851866327926519,1.4122093796730042,0.5703125,0.5575488489558864,0.001
Multi-shape CNN - Mixup - Segment Transformer,32,1.470784683094282,0.3976939613054524,1.6212229609489441,0.478125,0.4857736756184177,0.001
Multi-shape CNN - Mixup - Segment Transformer,33,1.4577787922349832,0.4111784248583154,1.4654919147491454,0.5453125,0.5436427765554572,0.001
Multi-shape CNN - Mixup - Segment Transformer,34,1.5166307604124194,0.3701387531756889,1.3739639520645142,0.6125,0.609022629628517,0.001
Multi-shape CNN - Mixup - Segment Transformer,35,1.5061885097284486,0.35079147938245064,1.3852744579315186,0.59375,0.5934409409302904,0.001
Multi-shape CNN - Mixup - Segment Transformer,36,1.511465928063906,0.4076607387140903,1.4460701823234559,0.5546875,0.5425445758143748,0.001
Multi-shape CNN - Mixup - Segment Transformer,37,1.5254605438459052,0.3846003517686144,1.5459319353103638,0.52578125,0.48749136585849034,0.001
Multi-shape CNN - Mixup - Segment Transformer,38,1.5232293164098731,0.426030877467266,1.4265932083129882,0.5671875,0.5506784522418138,0.001
Multi-shape CNN - Mixup - Segment Transformer,39,1.4806350655962952,0.3894860269689271,1.4236156582832336,0.58203125,0.5719944108889221,0.001
Multi-shape CNN - Mixup - Segment Transformer,40,1.4614493085090736,0.3756107094000391,1.4294665217399598,0.56484375,0.5615638037303943,0.001
Multi-shape CNN - Mixup - Segment Transformer,41,1.4768954912666141,0.3023255813953488,1.4983553051948548,0.5359375,0.5279044516751229,0.001
Multi-shape CNN - Mixup - Segment Transformer,42,1.451909485915361,0.47019738127809263,1.5556199669837951,0.51875,0.5165539271207251,0.001
Multi-shape CNN - Mixup - Segment Transformer,43,1.4664381747369728,0.35176861442251317,1.4118749260902406,0.57421875,0.5689648972068019,0.0005
Multi-shape CNN - Mixup - Segment Transformer,44,1.4210232956837647,0.4426421731483291,1.3459039211273194,0.609375,0.5995039428255607,0.0005
Multi-shape CNN - Mixup - Segment Transformer,45,1.4018042718197001,0.43384795778776625,1.3650252103805542,0.61171875,0.61663924047647,0.0005
Multi-shape CNN - Mixup - Segment Transformer,46,1.4359506565727291,0.40902872777017785,1.3422373294830323,0.6125,0.6051961803647963,0.0005
Multi-shape CNN - Mixup - Segment Transformer,47,1.4516668469267058,0.45143638850889195,1.3557056784629822,0.5984375,0.5935909689631851,0.0005
Multi-shape CNN - Mixup - Segment Transformer,48,1.4106104380221998,0.3709204612077389,1.4612985372543335,0.5625,0.5474481549470982,0.0005
Multi-shape CNN - Mixup - Segment Transformer,49,1.4516203405802572,0.3742427203439515,1.4728374242782594,0.55546875,0.5621105717381946,0.0005
Multi-shape CNN - Mixup - Segment Transformer,50,1.444675766049546,0.4105921438342779,1.3506638050079345,0.6109375,0.6081376506596474,0.0005
Multi-shape CNN - Mixup - Segment Transformer,51,1.4410609239615895,0.35606800859878834,1.332789957523346,0.6296875,0.6228150166148374,0.0005
Multi-shape CNN - Mixup - Segment Transformer,52,1.4323580172091275,0.4166503810826656,1.4254318833351136,0.58515625,0.5625749635963968,0.0005
Multi-shape CNN - Mixup - Segment Transformer,53,1.3982384890719786,0.38772718389681454,1.3417834758758544,0.6171875,0.6167853523318776,0.0005
Multi-shape CNN - Mixup - Segment Transformer,54,1.3759659618890585,0.43931991401211645,1.388439691066742,0.58515625,0.5851476197080873,0.0005
