true_label,pred_label,count
Pop,Rock,29
Experimental,Instrumental,25
Hip-Hop,Electronic,24
Pop,International,22
Rock,Pop,19
Pop,Electronic,19
Electronic,Hip-Hop,18
Experimental,Electronic,17
Pop,Folk,16
Rock,Folk,16
Pop,Experimental,15
Instrumental,Experimental,15
Instrumental,Pop,14
International,Folk,14
Instrumental,Electronic,14
Pop,Instrumental,14
Experimental,Pop,14
Experimental,Rock,14
Rock,International,13
International,Electronic,13
Pop,Hip-Hop,12
Rock,Experimental,12
Folk,Pop,11
Folk,Instrumental,11
Experimental,International,11
Experimental,Folk,10
Electronic,Experimental,10
Experimental,Hip-Hop,10
Electronic,International,9
Electronic,Instrumental,9
Instrumental,Folk,8
Electronic,Pop,8
Folk,International,7
Instrumental,Rock,7
Hip-Hop,International,7
Rock,Electronic,6
Folk,Experimental,6
Hip-Hop,Experimental,6
Folk,Rock,6
Rock,Instrumental,5
International,Hip-Hop,5
International,Pop,5
Hip-Hop,Instrumental,4
International,Experimental,4
International,Rock,4
Instrumental,Hip-Hop,4
Instrumental,International,4
Electronic,Rock,3
Hip-Hop,Pop,3
International,Instrumental,3
Folk,Hip-Hop,2
Hip-Hop,Folk,2
Rock,Hip-Hop,2
Electronic,Folk,1
Folk,Electronic,1
Hip-Hop,Rock,1
