model,epoch,train_loss,train_acc,val_acc
PANNs-CNN14 embeddings - MLP,1,1.3216876342821917,0.6949384404924761,0.6375
PANNs-CNN14 embeddings - MLP,2,0.864406796993871,0.761579050224741,0.65859375
PANNs-CNN14 embeddings - MLP,3,0.708639131168817,0.8022278678913426,0.6578125
PANNs-CNN14 embeddings - MLP,4,0.6169488054528649,0.8317373461012312,0.65390625
PANNs-CNN14 embeddings - MLP,5,0.544975829594496,0.8583154191909322,0.65546875
PANNs-CNN14 embeddings - MLP,6,0.48308628648008056,0.8784444010162205,0.65390625
PANNs-CNN14 embeddings - MLP,7,0.4283522352872648,0.8954465507133086,0.6515625
PANNs-CNN14 embeddings - MLP - Segment Averaging,1,1.1075839424157115,0.7635333203048661,0.66328125
PANNs-CNN14 embeddings - MLP - Segment Averaging,2,0.7810000426926883,0.8291967949970686,0.64921875
PANNs-CNN14 embeddings - MLP - Segment Averaging,3,0.6548454104157788,0.8716044557357827,0.65234375
PANNs-CNN14 embeddings - MLP - Segment Averaging,4,0.5536114246245425,0.9030682040257964,0.65625
PANNs-CNN14 embeddings - MLP - Segment Averaging,5,0.4705599781152541,0.9294508501074848,0.6515625
PANNs-CNN14 embeddings - MLP - Segment Averaging,6,0.39675543054679135,0.9466484268125855,0.65234375
