sample_index,true_id,pred_id,true_label,pred_label,correct,confidence,true_confidence,confidence_margin,track_id,mp3_path
1687,7,1,Rock,Experimental,False,0.992335319519043,0.0013290044153109193,0.9888319373130798,42851,data/fma_small/042/042851.mp3
4470,0,5,Electronic,International,False,0.9779501557350159,0.0016711526550352573,0.9716241955757141,99135,data/fma_small/099/099135.mp3
4607,3,5,Hip-Hop,International,False,0.9776337742805481,0.002997520612552762,0.9678934812545776,105685,data/fma_small/105/105685.mp3
6749,7,1,Rock,Experimental,False,0.9680591225624084,0.0010092162992805243,0.9514821767807007,130693,data/fma_small/130/130693.mp3
1931,2,4,Folk,Instrumental,False,0.964485228061676,0.01035977527499199,0.9541254639625549,47662,data/fma_small/047/047662.mp3
3375,1,2,Experimental,Folk,False,0.9551413655281067,0.009165775962173939,0.944720983505249,74377,data/fma_small/074/074377.mp3
4257,1,0,Experimental,Electronic,False,0.9513904452323914,0.0056937518529593945,0.9321854710578918,95189,data/fma_small/095/095189.mp3
1861,1,4,Experimental,Instrumental,False,0.9492812752723694,0.04253220930695534,0.9067490696907043,45934,data/fma_small/045/045934.mp3
2492,1,0,Experimental,Electronic,False,0.9486360549926758,0.032163236290216446,0.9164727926254272,58063,data/fma_small/058/058063.mp3
4959,6,1,Pop,Experimental,False,0.9479286670684814,0.012567289173603058,0.935361385345459,109958,data/fma_small/109/109958.mp3
5254,5,4,International,Instrumental,False,0.9382297992706299,0.0020046953577548265,0.9212411642074585,113279,data/fma_small/113/113279.mp3
2535,5,6,International,Pop,False,0.9364145398139954,0.002746927784755826,0.9084838628768921,59581,data/fma_small/059/059581.mp3
2015,6,3,Pop,Hip-Hop,False,0.9352355599403381,0.019452719017863274,0.9157828688621521,49477,data/fma_small/049/049477.mp3
5262,7,0,Rock,Electronic,False,0.9331968426704407,0.007473694626241922,0.9166089296340942,113305,data/fma_small/113/113305.mp3
4965,6,1,Pop,Experimental,False,0.9323938488960266,0.009136214852333069,0.9113395810127258,109973,data/fma_small/109/109973.mp3
7205,4,0,Instrumental,Electronic,False,0.929177463054657,0.019842801615595818,0.909334659576416,137169,data/fma_small/137/137169.mp3
7580,7,6,Rock,Pop,False,0.9263705611228943,0.014923322014510632,0.9001182317733765,143219,data/fma_small/143/143219.mp3
6747,7,1,Rock,Experimental,False,0.9231082797050476,0.03856498375535011,0.8845432996749878,130691,data/fma_small/130/130691.mp3
5553,1,0,Experimental,Electronic,False,0.9207164645195007,0.0006766582955606282,0.8848769664764404,116465,data/fma_small/116/116465.mp3
2750,1,2,Experimental,Folk,False,0.919789731502533,0.0023133913055062294,0.8777492642402649,63626,data/fma_small/063/063626.mp3
3352,5,3,International,Hip-Hop,False,0.9197125434875488,0.005774240475147963,0.894524872303009,73777,data/fma_small/073/073777.mp3
3583,4,7,Instrumental,Rock,False,0.9181504845619202,0.025929009541869164,0.8922214508056641,80516,data/fma_small/080/080516.mp3
464,3,0,Hip-Hop,Electronic,False,0.9171266555786133,0.003443788504227996,0.8581491708755493,10699,data/fma_small/010/010699.mp3
7718,6,3,Pop,Hip-Hop,False,0.9110733866691589,0.02421373873949051,0.886859655380249,145705,data/fma_small/145/145705.mp3
4913,1,7,Experimental,Rock,False,0.9097909927368164,0.05935581400990486,0.850435197353363,109106,data/fma_small/109/109106.mp3
2040,7,5,Rock,International,False,0.9088432192802429,0.0018365588039159775,0.8645811676979065,50449,data/fma_small/050/050449.mp3
3585,4,7,Instrumental,Rock,False,0.9070776104927063,0.04833218455314636,0.8587454557418823,80518,data/fma_small/080/080518.mp3
4138,6,0,Pop,Electronic,False,0.9059310555458069,0.027835071086883545,0.8780959844589233,92124,data/fma_small/092/092124.mp3
6778,2,6,Folk,Pop,False,0.9049040675163269,0.015060809440910816,0.8570166826248169,130956,data/fma_small/130/130956.mp3
5243,5,0,International,Electronic,False,0.9045055508613586,0.015569987706840038,0.8868248462677002,113268,data/fma_small/113/113268.mp3
3931,6,2,Pop,Folk,False,0.9033586382865906,0.037100329995155334,0.8662583231925964,87187,data/fma_small/087/087187.mp3
3899,7,6,Rock,Pop,False,0.9028029441833496,0.016624802723526955,0.8591999411582947,86795,data/fma_small/086/086795.mp3
4960,6,1,Pop,Experimental,False,0.9027398228645325,0.01714632473886013,0.8518785834312439,109960,data/fma_small/109/109960.mp3
7342,1,4,Experimental,Instrumental,False,0.902233898639679,0.048623520880937576,0.8536103963851929,139638,data/fma_small/139/139638.mp3
2367,0,3,Electronic,Hip-Hop,False,0.9016375541687012,0.019596733152866364,0.8670989274978638,56036,data/fma_small/056/056036.mp3
5987,6,0,Pop,Electronic,False,0.9013730883598328,0.014416195452213287,0.8625226616859436,122474,data/fma_small/122/122474.mp3
4518,0,1,Electronic,Experimental,False,0.9010929465293884,0.046266864985227585,0.8548260927200317,100549,data/fma_small/100/100549.mp3
6731,2,5,Folk,International,False,0.9003236889839172,0.012268006801605225,0.8678165674209595,130347,data/fma_small/130/130347.mp3
6806,6,7,Pop,Rock,False,0.898321807384491,0.06364843994379044,0.8346733450889587,131439,data/fma_small/131/131439.mp3
5418,0,6,Electronic,Pop,False,0.8980854153633118,0.01212034747004509,0.860902726650238,114544,data/fma_small/114/114544.mp3
5085,4,1,Instrumental,Experimental,False,0.8960002064704895,0.015729250386357307,0.8346878290176392,111221,data/fma_small/111/111221.mp3
655,0,3,Electronic,Hip-Hop,False,0.8906460404396057,0.02224740944802761,0.8658429384231567,13668,data/fma_small/013/013668.mp3
2503,6,3,Pop,Hip-Hop,False,0.8884735703468323,0.04437006637454033,0.8441035151481628,58166,data/fma_small/058/058166.mp3
3886,3,0,Hip-Hop,Electronic,False,0.8870050311088562,0.017518941313028336,0.8376771807670593,86678,data/fma_small/086/086678.mp3
644,5,2,International,Folk,False,0.8855283856391907,0.05111813545227051,0.8344102501869202,13539,data/fma_small/013/013539.mp3
2517,6,0,Pop,Electronic,False,0.87147456407547,0.02842462621629238,0.8389642238616943,58474,data/fma_small/058/058474.mp3
2838,1,0,Experimental,Electronic,False,0.8686273694038391,0.0640530213713646,0.8045743703842163,64858,data/fma_small/064/064858.mp3
7682,4,1,Instrumental,Experimental,False,0.8623723387718201,0.00247011985629797,0.8111301064491272,145183,data/fma_small/145/145183.mp3
6297,4,7,Instrumental,Rock,False,0.8620779514312744,0.037409763783216476,0.8246681690216064,126182,data/fma_small/126/126182.mp3
5686,1,2,Experimental,Folk,False,0.8610709309577942,0.018569340929389,0.7603471279144287,118505,data/fma_small/118/118505.mp3
833,6,2,Pop,Folk,False,0.8592121005058289,0.07631926983594894,0.7828928232192993,19074,data/fma_small/019/019074.mp3
3935,6,2,Pop,Folk,False,0.8568674921989441,0.09506425261497498,0.7618032693862915,87191,data/fma_small/087/087191.mp3
3587,4,7,Instrumental,Rock,False,0.8556156158447266,0.05724526569247246,0.798370361328125,80520,data/fma_small/080/080520.mp3
5847,4,0,Instrumental,Electronic,False,0.8540542125701904,0.008276265114545822,0.7883470058441162,120515,data/fma_small/120/120515.mp3
7089,4,3,Instrumental,Hip-Hop,False,0.8531578183174133,0.006223544478416443,0.7926151752471924,134796,data/fma_small/134/134796.mp3
1785,1,7,Experimental,Rock,False,0.8527743220329285,0.025823494419455528,0.7914957404136658,44791,data/fma_small/044/044791.mp3
3813,6,0,Pop,Electronic,False,0.8515585064888,0.030899202451109886,0.8001893758773804,85595,data/fma_small/085/085595.mp3
1793,1,0,Experimental,Electronic,False,0.8510156273841858,0.03882620856165886,0.8121894001960754,44799,data/fma_small/044/044799.mp3
3310,6,4,Pop,Instrumental,False,0.8508148789405823,0.027311885729432106,0.7886351943016052,73468,data/fma_small/073/073468.mp3
5644,5,3,International,Hip-Hop,False,0.8492417335510254,0.10457435995340347,0.7446673512458801,117943,data/fma_small/117/117943.mp3
4564,6,7,Pop,Rock,False,0.8411242961883545,0.10852024704217911,0.7326040267944336,104068,data/fma_small/104/104068.mp3
2362,0,6,Electronic,Pop,False,0.8405995965003967,0.03161655738949776,0.7970616221427917,56029,data/fma_small/056/056029.mp3
6805,6,7,Pop,Rock,False,0.8404057621955872,0.10949274152517319,0.7309130430221558,131436,data/fma_small/131/131436.mp3
6298,4,7,Instrumental,Rock,False,0.8402276039123535,0.1081160306930542,0.7321115732192993,126183,data/fma_small/126/126183.mp3
3135,3,0,Hip-Hop,Electronic,False,0.8387252688407898,0.03937932848930359,0.79621422290802,70773,data/fma_small/070/070773.mp3
6021,4,0,Instrumental,Electronic,False,0.8344662189483643,0.01113495696336031,0.774998128414154,122650,data/fma_small/122/122650.mp3
3742,2,7,Folk,Rock,False,0.833726704120636,0.022300446406006813,0.7284268736839294,84156,data/fma_small/084/084156.mp3
2757,3,0,Hip-Hop,Electronic,False,0.8324469923973083,0.03381921350955963,0.761491060256958,63789,data/fma_small/063/063789.mp3
5099,6,0,Pop,Electronic,False,0.8277434706687927,0.06282830983400345,0.7621742486953735,111368,data/fma_small/111/111368.mp3
5895,6,7,Pop,Rock,False,0.8272783160209656,0.10713908821344376,0.72013920545578,121592,data/fma_small/121/121592.mp3
673,2,5,Folk,International,False,0.8250420093536377,0.05450911819934845,0.7405563592910767,13930,data/fma_small/013/013930.mp3
2483,1,3,Experimental,Hip-Hop,False,0.8212984204292297,0.0407976396381855,0.7535955309867859,57938,data/fma_small/057/057938.mp3
2650,6,1,Pop,Experimental,False,0.8183601498603821,0.023401765152812004,0.765076220035553,61587,data/fma_small/061/061587.mp3
7199,0,5,Electronic,International,False,0.8182342648506165,0.13634200394153595,0.6818922758102417,137054,data/fma_small/137/137054.mp3
1347,2,6,Folk,Pop,False,0.8181350231170654,0.08376162499189377,0.7343733906745911,35443,data/fma_small/035/035443.mp3
7630,2,4,Folk,Instrumental,False,0.8138976097106934,0.039610605686903,0.7420753836631775,144476,data/fma_small/144/144476.mp3
2505,6,1,Pop,Experimental,False,0.8118764758110046,0.05904728174209595,0.7528291940689087,58170,data/fma_small/058/058170.mp3
4744,7,1,Rock,Experimental,False,0.8099943995475769,0.012707133777439594,0.6405214667320251,107659,data/fma_small/107/107659.mp3
1791,1,6,Experimental,Pop,False,0.8080474734306335,0.040680427104234695,0.7348139882087708,44797,data/fma_small/044/044797.mp3
1013,1,5,Experimental,International,False,0.8067917227745056,0.011531696654856205,0.6810857653617859,24975,data/fma_small/024/024975.mp3
1678,7,5,Rock,International,False,0.8047754764556885,0.06292679905891418,0.7418487071990967,42442,data/fma_small/042/042442.mp3
6840,4,2,Instrumental,Folk,False,0.8025498390197754,0.05059124529361725,0.7493196725845337,131797,data/fma_small/131/131797.mp3
1402,6,0,Pop,Electronic,False,0.8018262386322021,0.07996215671300888,0.7218641042709351,36961,data/fma_small/036/036961.mp3
3708,3,0,Hip-Hop,Electronic,False,0.8018112182617188,0.1241789162158966,0.6776323318481445,83718,data/fma_small/083/083718.mp3
2276,6,2,Pop,Folk,False,0.7950109839439392,0.09706425666809082,0.6979467272758484,54664,data/fma_small/054/054664.mp3
3425,3,0,Hip-Hop,Electronic,False,0.7945850491523743,0.10255488753318787,0.6920301914215088,75386,data/fma_small/075/075386.mp3
6495,6,2,Pop,Folk,False,0.7923914790153503,0.09948214888572693,0.6929093599319458,127289,data/fma_small/127/127289.mp3
1798,1,7,Experimental,Rock,False,0.790751039981842,0.004503956064581871,0.6699314713478088,44804,data/fma_small/044/044804.mp3
2125,6,1,Pop,Experimental,False,0.7895699143409729,0.0395769365131855,0.7210853695869446,52380,data/fma_small/052/052380.mp3
1539,1,4,Experimental,Instrumental,False,0.7873407006263733,0.06753068417310715,0.6826293468475342,39484,data/fma_small/039/039484.mp3
5136,4,1,Instrumental,Experimental,False,0.7808893322944641,0.07714542001485825,0.6865667104721069,111873,data/fma_small/111/111873.mp3
3761,6,0,Pop,Electronic,False,0.7767238616943359,0.12727035582065582,0.6494535207748413,84605,data/fma_small/084/084605.mp3
1222,1,0,Experimental,Electronic,False,0.7745473980903625,0.06238054111599922,0.7023388147354126,30090,data/fma_small/030/030090.mp3
3210,7,4,Rock,Instrumental,False,0.7741920351982117,0.04530423507094383,0.6901353597640991,71938,data/fma_small/071/071938.mp3
6009,4,0,Instrumental,Electronic,False,0.7690813541412354,0.0932501032948494,0.6758312582969666,122630,data/fma_small/122/122630.mp3
5218,6,1,Pop,Experimental,False,0.7686778903007507,0.0399119034409523,0.6022195816040039,113028,data/fma_small/113/113028.mp3
6691,5,3,International,Hip-Hop,False,0.7647364139556885,0.1599591225385666,0.6047772765159607,129884,data/fma_small/129/129884.mp3
5724,1,6,Experimental,Pop,False,0.7630638480186462,0.11997104436159134,0.6430928111076355,119118,data/fma_small/119/119118.mp3
6753,3,5,Hip-Hop,International,False,0.7621094584465027,0.1768432855606079,0.5852661728858948,130711,data/fma_small/130/130711.mp3
6340,4,0,Instrumental,Electronic,False,0.7565430998802185,0.08451899886131287,0.6578657031059265,126319,data/fma_small/126/126319.mp3
856,6,0,Pop,Electronic,False,0.7550871968269348,0.09420371800661087,0.6608834862709045,19689,data/fma_small/019/019689.mp3
5393,7,4,Rock,Instrumental,False,0.7524405121803284,0.03202708065509796,0.6679979562759399,114400,data/fma_small/114/114400.mp3
