model,epoch,train_loss,train_acc,val_acc,val_f1,lr
AST embeddings - MLP,1,1.3619763210278726,0.6949384404924761,0.63828125,,
AST embeddings - MLP,2,0.8603151426234668,0.7746726597615791,0.65,,
AST embeddings - MLP,3,0.6809735425821623,0.8333007621653312,0.65703125,,
AST embeddings - MLP,4,0.5620186470748902,0.8760992769200704,0.6625,,
AST embeddings - MLP,5,0.46919409071806606,0.9065858901700214,0.6609375,,
AST embeddings - MLP,6,0.3912716780050016,0.9312096931795975,0.66171875,,
AST embeddings - MLP,7,0.32423509007116263,0.9517295290209107,0.6578125,,
AST embeddings - MLP,8,0.2672608905975933,0.9671682626538988,0.6578125,,
AST embeddings - MLP,9,0.21981872999579224,0.9763533320304866,0.65859375,,
AST embeddings - MLP - Segment Averaging,1,1.0029713524991153,0.813953488372093,0.6875,,
AST embeddings - MLP - Segment Averaging,2,0.6428336779313901,0.8788352550322455,0.675,,
AST embeddings - MLP - Segment Averaging,3,0.4845911383706439,0.9280828610513973,0.66953125,,
AST embeddings - MLP - Segment Averaging,4,0.36497304978164413,0.9566152042212234,0.671875,,
AST embeddings - MLP - Segment Averaging,5,0.2738560057420116,0.9732264999022865,0.675,,
AST embeddings - MLP - Segment Averaging,6,0.20523316230654823,0.9792847371506742,0.675,,
AST embeddings - Mixup - Segment Logit Averaging,1,1.4909540636827872,0.6824311119796755,0.6703125,0.6635990968097281,0.001
AST embeddings - Mixup - Segment Logit Averaging,2,1.2675611231973307,0.7314832909908149,0.68828125,0.68686635467873,0.001
AST embeddings - Mixup - Segment Logit Averaging,3,1.207765828917822,0.760797342192691,0.69375,0.6925319482870012,0.001
AST embeddings - Mixup - Segment Logit Averaging,4,1.1498721059654196,0.7922610904827047,0.70078125,0.6981854503788465,0.001
AST embeddings - Mixup - Segment Logit Averaging,5,1.097637357342772,0.8215751416845808,0.70546875,0.7006124813062242,0.001
AST embeddings - Mixup - Segment Logit Averaging,6,1.1369947302683923,0.8428766855579441,0.70234375,0.6996412284159548,0.001
AST embeddings - Mixup - Segment Logit Averaging,7,1.098718232467395,0.8645690834473324,0.69609375,0.692094112981988,0.001
AST embeddings - Mixup - Segment Logit Averaging,8,1.0531415045669075,0.8813758061364081,0.6953125,0.6917884103455747,0.001
AST embeddings - Mixup - Segment Logit Averaging,9,1.0256542743522021,0.8995505178815713,0.6984375,0.6973045211045555,0.001
AST embeddings - Mixup - Segment Logit Averaging,10,1.0004647384753143,0.904827047097909,0.69296875,0.6873792314460005,0.001
AST embeddings - Mixup - Segment Logit Averaging,11,0.9527904172416122,0.9177252296267344,0.70546875,0.7028901365907625,0.001
AST embeddings - Mixup - Segment Logit Averaging,12,0.9380922007891543,0.9253468829392222,0.70078125,0.6986780100671287,0.001
AST embeddings - Mixup - Segment Logit Averaging,13,0.9207395608825378,0.9419581786202853,0.70078125,0.6981493047057223,0.001
AST embeddings - Mixup - Segment Logit Averaging,14,1.0188389640313842,0.9486026968927106,0.696875,0.6934863806922655,0.001
AST embeddings - Mixup - Segment Logit Averaging,15,0.947235861781148,0.9489935509087356,0.7046875,0.7031450556500198,0.001
AST embeddings - Mixup - Segment Logit Averaging,16,0.9200303128554482,0.9589603283173734,0.7,0.6974066778586909,0.001
AST embeddings - Mixup - Segment Logit Averaging,17,0.8307313277708824,0.9685362517099864,0.7015625,0.6980811024092868,0.001
AST embeddings - Mixup - Segment Logit Averaging,18,0.8385438109273577,0.9675591166699238,0.71484375,0.7142725600361057,0.001
AST embeddings - Mixup - Segment Logit Averaging,19,0.8852972081100333,0.9745944889583741,0.7015625,0.7000219019174412,0.001
AST embeddings - Mixup - Segment Logit Averaging,20,0.8734587709932139,0.9745944889583741,0.7109375,0.7095892168896281,0.001
AST embeddings - Mixup - Segment Logit Averaging,21,0.8604314907095221,0.9779167480945866,0.69453125,0.691641566103705,0.001
AST embeddings - Mixup - Segment Logit Averaging,22,0.8126188861641167,0.9806527262067618,0.69609375,0.6917890258446104,0.001
AST embeddings - Mixup - Segment Logit Averaging,23,0.8777312658157855,0.9831932773109243,0.7109375,0.7088673435206206,0.001
AST embeddings - Mixup - Segment Logit Averaging,24,0.741287115398552,0.9812390072307993,0.71328125,0.7108728611745322,0.001
AST embeddings - Mixup - Segment Logit Averaging,25,0.8310782559884347,0.9835841313269493,0.703125,0.6986593036906168,0.001
AST embeddings - Mixup - Segment Logit Averaging,26,0.7426343288928567,0.9886652335352746,0.70703125,0.7060093362503708,0.001
