true_label,pred_label,count
Rock,Pop,27
Instrumental,Experimental,23
Experimental,Pop,23
Pop,Rock,21
Pop,Folk,20
Pop,Instrumental,17
Pop,Experimental,16
Experimental,Instrumental,15
Folk,Instrumental,15
Instrumental,Electronic,15
Experimental,Electronic,15
Electronic,Hip-Hop,15
Experimental,Rock,14
Hip-Hop,Electronic,14
Pop,Electronic,13
Pop,Hip-Hop,12
Electronic,Pop,11
Experimental,Folk,10
Instrumental,Rock,10
Electronic,Instrumental,10
Rock,Folk,9
Hip-Hop,Pop,9
Pop,International,9
Rock,Experimental,9
International,Pop,9
Folk,Pop,9
Rock,Instrumental,8
Instrumental,Folk,8
Folk,Rock,8
International,Folk,8
Hip-Hop,Experimental,7
Folk,International,7
International,Instrumental,6
Hip-Hop,Instrumental,6
Folk,Experimental,6
Electronic,Experimental,6
Rock,Electronic,5
Rock,International,5
Instrumental,Pop,5
Experimental,International,5
International,Hip-Hop,4
International,Rock,4
Electronic,International,4
Hip-Hop,International,4
International,Electronic,3
Electronic,Rock,3
Hip-Hop,Rock,3
Rock,Hip-Hop,3
Experimental,Hip-Hop,3
Instrumental,International,2
Hip-Hop,Folk,2
International,Experimental,1
Instrumental,Hip-Hop,1
Electronic,Folk,1
Folk,Electronic,1
