model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
CNN - Mel (no aug),1,1.7893640221807672,0.33750244283760017,1.9271751403808595,0.340625,0.2768358616833164
CNN - Mel (no aug),2,1.6093502071701924,0.4166503810826656,1.5552136778831482,0.44296875,0.42258486776266657
CNN - Mel (no aug),3,1.502817721857977,0.4631620089896424,1.6028511106967926,0.4296875,0.3928264594281752
CNN - Mel (no aug),4,1.4474029184342923,0.48602696892710573,1.521085050702095,0.478125,0.4519375064659502
CNN - Mel (no aug),5,1.4174227855250732,0.5014657025600938,1.4804467797279357,0.4875,0.47607480163669486
CNN - Mel (no aug),6,1.3846143271416596,0.5176861442251319,1.75961030125618,0.3953125,0.3711563582234296
CNN - Mel (no aug),7,1.3676175134872024,0.520422122337307,1.5216461718082428,0.46640625,0.44400979733008766
CNN - Mel (no aug),8,1.335858089396887,0.5362517099863201,1.5736903846263885,0.44453125,0.4323300813189379
CNN - Mel (no aug),9,1.323251090246368,0.5341020128981825,1.5665357530117034,0.48828125,0.45732459070556863
CNN - Mel (no aug),10,1.2969617566397025,0.5454367793629079,1.6197263836860656,0.434375,0.4154838901508112
CNN - Mel (no aug),11,1.2793151862877106,0.5544264217314833,1.6399719536304473,0.4609375,0.4318420978621113
CNN - Mel (no aug),12,1.249571841210855,0.5673246042603087,1.4732718378305436,0.478125,0.47018095968289686
CNN - Mel (no aug),13,1.2325095768456629,0.571233144420559,1.5968250006437301,0.45390625,0.4309494894006996
CNN - Mel (no aug),14,1.2319800463742243,0.5722102794606214,1.4821955949068069,0.47109375,0.469413734690125
CNN - Mel (no aug),15,1.1977987389138651,0.5788547977330467,1.795891484618187,0.384375,0.37308553848625414
CNN - Mel (no aug),16,1.155906680088293,0.5968340824701974,1.6216282576322556,0.44453125,0.4125427722821606
CNN - Mel (no aug),17,1.1270602233059965,0.6085597029509479,1.8300971537828445,0.42578125,0.4173282555165305
CNN - Mel + SpecAugment,1,1.7462197495597123,0.3519640414305257,1.882670858502388,0.3375,0.3041027116987721
CNN - Mel + SpecAugment,2,1.6114674321091313,0.41782294313074064,1.8594281911849975,0.34765625,0.29390185239728295
CNN - Mel + SpecAugment,3,1.5579572100878833,0.43971076802814146,1.9014390915632249,0.38125,0.3516569976889323
CNN - Mel + SpecAugment,4,1.5125015830770003,0.46570256009380495,1.7472089588642121,0.375,0.33583838465752025
CNN - Mel + SpecAugment,5,1.4772995938214795,0.4805550127027555,1.7925009340047837,0.41953125,0.3860555052412361
CNN - Mel + SpecAugment,6,1.4523717735995765,0.4827047097908931,1.5321673780679703,0.46953125,0.4595560365907235
CNN - Mel + SpecAugment,7,1.4319672083188388,0.5022474105921438,1.856561741232872,0.3453125,0.30895182728675674
CNN - Mel + SpecAugment,8,1.4163978307629694,0.4993160054719562,1.5309155344963075,0.49453125,0.4712180500182639
CNN - Mel + SpecAugment,9,1.4038883102855715,0.5106507719366816,1.6252301782369614,0.47890625,0.4578979496162029
CNN - Mel + SpecAugment,10,1.3848573206364234,0.5180769982411569,1.8953191936016083,0.35234375,0.3026346463464451
CNN - Mel + SpecAugment,11,1.3757632243253535,0.5143638850889193,1.574906411767006,0.47265625,0.45961194228186464
CNN - Mel + SpecAugment,12,1.3645631590228726,0.5167090091850693,1.5791091620922089,0.47109375,0.4543070034414116
CNN - Mel + SpecAugment,13,1.3398406587356186,0.5258940785616573,1.652314591407776,0.434375,0.4215637705169816
CNN - Mel + SpecAugment,14,1.338816629738367,0.5284346296658198,1.5270279884338378,0.4984375,0.46802495957651447
CNN - Mel + SpecAugment,15,1.3074760940686692,0.5405511041625952,1.647873130440712,0.45703125,0.42351933015383336
CNN - Mel + SpecAugment,16,1.3049115292234348,0.5409419581786202,1.7942300230264663,0.3890625,0.36932373340842806
CNN - Mel + SpecAugment,17,1.2663311349336863,0.5618526480359586,1.7555268213152886,0.42734375,0.41946391084702617
CNN - Mel + SpecAugment,18,1.257779605015428,0.5555989837795583,1.4821344807744026,0.5109375,0.510520343848567
CNN - Mel + SpecAugment,19,1.2468003765293134,0.562048075043971,1.3862719342112542,0.5375,0.5288796148147238
CNN - Mel + SpecAugment,20,1.2403111838143577,0.5683017393003713,1.7250485062599181,0.49296875,0.4622159526588743
CNN - Mel + SpecAugment,21,1.1969402137272336,0.5817862028532343,1.466862115263939,0.53515625,0.5227634839200583
CNN - Mel + SpecAugment,22,1.1995574411107432,0.5796365057650967,1.7767795354127884,0.4296875,0.4227205989816703
CNN - Mel + SpecAugment,23,1.1883726788727316,0.5815907758452218,1.9758636713027955,0.46875,0.42087722965895347
CNN - Mel + SpecAugment,24,1.1624029509276181,0.5968340824701974,1.5514587789773941,0.490625,0.4668959043360168
CNN - Mel + SpecAugment,25,1.152734760138959,0.5948798123900723,1.8312994688749313,0.41953125,0.41305376522807097
CNN - Mel + SpecAugment,26,1.120552721027287,0.6030877467265976,3.190376514196396,0.37890625,0.330556645635126
CNN - Mel + SpecAugment,27,1.09756315684025,0.6193081883916357,1.6749082177877426,0.51015625,0.5074768383945203
CNN - Mel + SpecAugment,28,1.089999636425878,0.6185264803595857,1.448080162703991,0.55,0.5466270638115355
CNN - Mel + SpecAugment,29,1.0534371797847915,0.6367011921047488,1.8112407356500626,0.4828125,0.45787717096390407
CNN - Mel + SpecAugment,30,1.0369019457807946,0.6406097322649991,1.4943267583847046,0.54296875,0.5483641319555108
CNN - Mel + SpecAugment,31,1.010514725645422,0.6511627906976745,1.605663800239563,0.5359375,0.5380839992183846
CNN - Mel + SpecAugment,32,1.0000171796031965,0.6535079147938245,1.5635888531804085,0.5578125,0.5560318487001543
CNN - Mel + SpecAugment,33,0.990473519201877,0.6509673636896619,1.5605544090270995,0.528125,0.5278780859401755
CNN - Mel + SpecAugment,34,0.9590400721450464,0.6656243892906,1.9622078835964203,0.4484375,0.44211717029682196
CNN - Mel + SpecAugment,35,0.9156919383014905,0.6767637287473128,1.8588429808616638,0.53515625,0.5127690416298624
CNN - Mel + SpecAugment,36,0.8919540616143652,0.6941567324604261,1.6679530501365663,0.53125,0.5252903223310126
CNN - Mel + SpecAugment,37,0.8564884495940179,0.7078366230213016,1.730479347705841,0.55234375,0.5446984276610392
CNN - Mel + SpecAugment,38,0.8250890244187986,0.7125268712136017,1.5640185266733169,0.56484375,0.5583773232304641
CNN - Mel + SpecAugment,39,0.8194787283882117,0.7246433457103771,1.7274668514728546,0.54296875,0.5325922394516232
CNN - Mel + SpecAugment,40,0.7756514524677337,0.7299198749267148,1.720831710100174,0.56796875,0.5561418063060144
CNN - Mel + SpecAugment,41,0.7780995407397099,0.7271838968145398,1.7280848681926728,0.54296875,0.5393113753453251
CNN - Mel + SpecAugment,42,0.7212533175258029,0.7557162399843659,1.5947381168603898,0.5828125,0.5752110956869689
CNN - Mel + SpecAugment,43,0.6880891617676558,0.7652921633769787,1.9245397865772247,0.5265625,0.5179536158791906
CNN - Mel + SpecAugment,44,0.6798878105352557,0.7690052765292164,1.9843334078788757,0.525,0.5166042480944162
CNN - Mel + SpecAugment,45,0.6393439121863235,0.7820988860660544,1.6438129886984825,0.5859375,0.5833116478223312
CNN - Mel + SpecAugment,46,0.6250195783610826,0.7846394371702169,1.8829621016979217,0.53671875,0.5377941110690657
CNN - Mel + SpecAugment,47,0.5951079307111278,0.7916748094586672,1.8415742307901382,0.53984375,0.5392510232779987
CNN - Mel + SpecAugment,48,0.5700416771000848,0.8051592730115302,1.7347323030233384,0.56796875,0.5690229659314152
CNN - Mel + SpecAugment,49,0.5688863302525865,0.8057455540355677,1.7075032696127892,0.578125,0.5798485248529268
CNN - Mel + SpecAugment,50,0.5616609668717711,0.8053547000195427,1.7468687444925308,0.57265625,0.5728327724522955
