model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
Reg. CNN (no Mixup),1,2.055831861677686,0.17314832909908148,1.9551506340503693,0.228125,0.13179705458802174
Reg. CNN (no Mixup),2,1.9764542450820046,0.23275356654289622,1.9009990513324737,0.265625,0.17954351206756292
Reg. CNN (no Mixup),3,1.9539773533394125,0.2505374242720344,1.855787178874016,0.33671875,0.25460168539967143
Reg. CNN (no Mixup),4,1.9250366950561602,0.2851280046902482,1.8392319083213806,0.32578125,0.23613540978115297
Reg. CNN (no Mixup),5,1.8983453861409527,0.29958960328317374,1.8009624511003495,0.35859375,0.2807429613131134
Reg. CNN (no Mixup),6,1.8727588655195224,0.306624975571624,1.7693891376256943,0.38984375,0.3218162992670588
Reg. CNN (no Mixup),7,1.8514252633630985,0.33574359976548757,1.7311495631933211,0.3859375,0.3134933788534113
Reg. CNN (no Mixup),8,1.8341308298906778,0.34102012898182527,1.7153138756752013,0.40625,0.3476059734932657
Reg. CNN (no Mixup),9,1.824441857768475,0.35040062536642563,1.7199138402938843,0.3953125,0.34780941245243957
Reg. CNN (no Mixup),10,1.8217887873525658,0.3496189173343756,1.722033303976059,0.39296875,0.33243500018744254
Reg. CNN (no Mixup),11,1.7954058230377534,0.3752198553840141,1.6872499614953995,0.403125,0.348945491575705
Reg. CNN (no Mixup),12,1.7974541382046914,0.37170216923978894,1.6933788329362869,0.4234375,0.3684939575008275
Reg. CNN (no Mixup),13,1.7959320260277711,0.37170216923978894,1.7077257663011551,0.41328125,0.35548516287843795
Reg. CNN (no Mixup),14,1.7796817473282402,0.3810826656243893,1.7404754549264907,0.40546875,0.35836642872292335
Reg. CNN (no Mixup),15,1.7775383342260584,0.37170216923978894,1.6764216810464858,0.43046875,0.37974943059503874
Reg. CNN (no Mixup),16,1.7821204970305566,0.373656439319914,1.7043734580278396,0.42734375,0.3796906599868106
Reg. CNN (no Mixup),17,1.7802023601783588,0.3795192495602892,1.679015439748764,0.43671875,0.39232276541379973
Reg. CNN (no Mixup),18,1.7746874395468888,0.3793238225522767,1.6455691128969192,0.45859375,0.41303113259701973
Reg. CNN (no Mixup),19,1.7711116519784098,0.3853820598006645,1.6688244998455048,0.428125,0.3754974068929421
Reg. CNN (no Mixup),20,1.7601633946458086,0.39788938831346493,1.6443965762853623,0.45859375,0.4150845963417913
Reg. CNN (no Mixup),21,1.7510426667884198,0.3941762751612273,1.6871739119291305,0.434375,0.3882285376185486
Reg. CNN (no Mixup),22,1.7441952589412255,0.40336134453781514,1.6762110084295272,0.4328125,0.3837789658231478
Reg. CNN (no Mixup),23,1.7502835277516744,0.39906195036153996,1.6847934544086456,0.4296875,0.37617182498861473
