model,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
ResNet CNN + SpecAugment,1,1.8614871694120505,0.3019347273793238,1.8794106900691987,0.37265625,0.31864884182673303
ResNet CNN + SpecAugment,2,1.716214319656481,0.3865546218487395,1.7697064876556396,0.40546875,0.3840840855022718
ResNet CNN + SpecAugment,3,1.6780256227471293,0.41450068399452805,1.703053170442581,0.45,0.42000948218741135
ResNet CNN + SpecAugment,4,1.6511482690399644,0.41762751612272814,1.6228479623794556,0.45703125,0.4323900716954012
ResNet CNN + SpecAugment,5,1.6237189158672045,0.43345710377174124,1.559904119372368,0.48125,0.45849225324902737
ResNet CNN + SpecAugment,6,1.595049995706956,0.4434238811803791,1.641517174243927,0.45078125,0.43658491938476324
ResNet CNN + SpecAugment,7,1.5660515390897092,0.46277115497361737,1.5932264894247055,0.465625,0.4457886459539583
ResNet CNN + SpecAugment,8,1.5397738088544795,0.47019738127809263,1.655185914039612,0.48828125,0.4680143281546402
ResNet CNN + SpecAugment,9,1.5344411281023218,0.4770373265585304,1.5293365955352782,0.4921875,0.4746679385899053
ResNet CNN + SpecAugment,10,1.5154771492400625,0.4842681258549932,1.4879391700029374,0.5109375,0.494990067553904
ResNet CNN + SpecAugment,11,1.4987697548900751,0.4905217901113934,1.4675267726182937,0.52265625,0.5056829542051224
ResNet CNN + SpecAugment,12,1.476699377867494,0.5016611295681063,1.5443170249462128,0.51015625,0.4928415861421297
ResNet CNN + SpecAugment,13,1.4662123519460601,0.5143638850889193,1.4954648941755295,0.52578125,0.5115949948165011
ResNet CNN + SpecAugment,14,1.4530293045506153,0.5157318741450069,1.4813789665699004,0.5125,0.49434717043049514
ResNet CNN + SpecAugment,15,1.4372636194175077,0.5255032245456323,1.4631699472665787,0.54453125,0.5374560485303232
ResNet CNN + SpecAugment,16,1.4148181835515252,0.5317568888020324,1.5041240245103835,0.5296875,0.5219573185020231
ResNet CNN + SpecAugment,17,1.4205051975276337,0.5305843267539574,1.5058053702116012,0.5171875,0.49323037064436537
ResNet CNN + SpecAugment,18,1.3881213529188698,0.5483681844830955,1.5014572501182557,0.525,0.5137542886348969
ResNet CNN + SpecAugment,19,1.3730818812027559,0.5432870822747704,1.5562450796365739,0.50859375,0.49492788176992947
ResNet CNN + SpecAugment,20,1.3827346176147834,0.5387922610904827,1.4982878506183623,0.5390625,0.5143988393116031
ResNet CNN + SpecAugment,21,1.3581624739054057,0.5614617940199336,1.4740348786115647,0.521875,0.510171495459517
ResNet CNN + SpecAugment,22,1.3374315169213082,0.5659566152042212,1.4725445479154586,0.5453125,0.5380190063182639
ResNet CNN + SpecAugment,23,1.3244344177995315,0.5729919874926714,1.4748803585767747,0.5421875,0.5306922455544703
ResNet CNN + SpecAugment,24,1.317661067727536,0.5733828415086965,1.4549180164933204,0.55546875,0.5442466066227477
ResNet CNN + SpecAugment,25,1.296155739697204,0.5888215751416845,1.5227333039045334,0.5546875,0.5483202961469977
ResNet CNN + SpecAugment,26,1.2691302078879623,0.600547195622435,1.4582363218069077,0.56875,0.5559827049759506
ResNet CNN + SpecAugment,27,1.2516185981537278,0.6040648817666602,1.4994008779525756,0.5578125,0.5446259115816712
ResNet CNN + SpecAugment,28,1.2389380309831963,0.6073871409028728,1.5805292695760726,0.55078125,0.5375507219586935
ResNet CNN + SpecAugment,29,1.2260642164452877,0.612859097127223,1.4605566754937171,0.57109375,0.5596268166914072
ResNet CNN + SpecAugment,30,1.2082093000551768,0.6157905022474106,1.4813057139515877,0.58515625,0.5799489865884033
ResNet CNN + SpecAugment,31,1.1910936131662797,0.6230213015438734,1.5318940505385399,0.559375,0.5478421235444788
ResNet CNN + SpecAugment,32,1.1533404144198023,0.6480359585694743,1.535777473449707,0.56875,0.5632147835393264
ResNet CNN + SpecAugment,33,1.1392336605534974,0.6521399257377369,1.4923400700092315,0.584375,0.578130498086532
ResNet CNN + SpecAugment,34,1.1277906702252973,0.6509673636896619,1.5610710352659225,0.57734375,0.5734114494670919
ResNet CNN + SpecAugment,35,1.0889661677512243,0.6697283564588626,1.5155074775218964,0.56953125,0.5664022654300213
ResNet CNN + SpecAugment,36,1.0632304069887317,0.6836036740277507,1.5965720236301422,0.5640625,0.554836034608466
ResNet CNN + SpecAugment,37,1.0326034226453884,0.6927887434043385,1.599275168776512,0.56640625,0.5543105076204035
ResNet CNN + SpecAugment,38,1.0072193545756547,0.7004103967168263,1.615880650281906,0.5734375,0.5637370925259164
ResNet CNN + SpecAugment,39,0.995185917095209,0.7054914989251515,1.62822787463665,0.57421875,0.5713814708124073
ResNet CNN + SpecAugment,40,0.9744803274844991,0.719953097518077,1.6156383112072945,0.56171875,0.5575914824998676
ResNet CNN + SpecAugment,41,0.9446266861849053,0.7332421340629275,1.6205823063850402,0.5546875,0.5550035245885871
ResNet CNN + SpecAugment,42,0.9129885840467208,0.747703732655853,1.669704195857048,0.565625,0.5631858882784488
