experiment,model,split,accuracy,f1_macro,best_epoch,best_val_f1,param_count,trainable_param_count,training_seconds,epochs_run
1 Random Forest vs MLP,RF - Timbre,test,0.5075,0.4993128670350898,,,513364,,12.253223497999985,
1 Random Forest vs MLP,RF - Harmony,test,0.39,0.379877220790521,,,612640,,7.073059908000005,
1 Random Forest vs MLP,RF - Rhythm,test,0.365,0.3584670795546291,,,565090,,19.294175438,
1 Random Forest vs MLP,RF - Combined,test,0.52125,0.514454599869707,,,480758,,22.789357002999992,
1 Random Forest vs MLP,MLP - Combined,test,0.52875,0.521975466696204,,,365960,365960.0,6.271058104999952,14.0
2.1 Plain CNN,Plain CNN,test,0.529375,0.5340358240188687,63.0,0.5651978623878431,1174696,1174696.0,692.280047774,111.0
2.2 Regularisation ablation,Heavily Regularised CNN,test,0.559375,0.5373305527388854,90.0,0.5352091356243383,295656,295656.0,772.84406804,138.0
2.2 Regularisation ablation,Moderately Regularised CNN,test,0.580625,0.5678664611848909,90.0,0.5868830997959289,295656,295656.0,731.6700883790002,138.0
2.3 ResNet CNN,ResNet CNN,test,0.5625,0.5546049673908968,111.0,0.5472642011884079,222840,222840.0,772.6657408450001,159.0
2.4 Augmentation ablation,Moderately Regularised CNN - SpecAugment,test,0.57375,0.5551438016334493,132.0,0.5501593340585482,295656,295656.0,997.08446657,180.0
2.4 Augmentation ablation,Moderately Regularised CNN - Mixup,test,0.589375,0.5733872698418444,125.0,0.57875549635572,295656,295656.0,919.7963426310008,173.0
2.4 Augmentation ablation,Moderately Regularised CNN - SpecAugment + Mixup,test,0.560625,0.540941627278535,99.0,0.5530998582094955,295656,295656.0,785.9609633569999,147.0
2.5 Segment Averaging,Moderately Regularised CNN - Segment Averaging,test,0.635,0.6290799810102221,112.0,0.6318588951938989,295656,295656.0,2757.8617608440004,160.0
3 Hybrid Modal,Hybrid late fusion (Moderately Regularised CNN - Segment Averaging + MLP - Combined),test,0.63875,0.632310715283655,,0.6336995219985762,295656,295656.0,2.582162217000132,
